name,country,sector,total_score,maturity_level,social_media,website,visual_content,discoverability,digital_sales,platform_integration
Cape Coast Castle (Central Region),Ghana,Cultural heritage sites/museums,30.0,Intermediate,5.0,9.0,3.0,6.0,4.0,3.0
Elmina Castle (Central Region),Ghana,Cultural heritage sites/museums,3.0,Absent/Basic,0.0,0.0,0.0,2.0,0.0,1.0
Accra Art & Craft Market (Osu),Ghana,Crafts and artisan products,20.0,Emerging,6.0,8.0,2.0,1.0,2.0,1.0
Baba Tree Basket Company (Bolgatanga),Ghana,Crafts and artisan products,27.0,Intermediate,7.0,8.0,5.0,1.0,4.0,2.0
SWOPA – Sirigu Women’s Org. for Pottery & Art (Sirigu),Ghana,Crafts and artisan products,13.0,Emerging,6.0,2.0,1.0,2.0,1.0,1.0
Global Mamas (Krobo beads & batik),Ghana,Crafts and artisan products,32.0,Intermediate,7.0,9.0,3.0,6.0,4.0,3.0
Bonwire Kente Museum & Weaving (Ashanti),Ghana,Crafts and artisan products,4.0,Absent/Basic,1.0,0.0,0.0,2.0,0.0,1.0
Chale Wote Street Art Festival (Accra),Ghana,Festivals and cultural events,7.0,Absent/Basic,5.0,0.0,2.0,0.0,0.0,0.0
PANAFEST – Pan-African Festival (Cape Coast/Elmina/Accra),Ghana,Festivals and cultural events,18.0,Emerging,4.0,9.0,1.0,1.0,2.0,1.0
Homowo Festival (Accra),Ghana,Festivals and cultural events,8.0,Absent/Basic,4.0,0.0,0.0,2.0,0.0,2.0
AfroFuture (formerly Afrochella) (Accra),Ghana,Festivals and cultural events,26.0,Intermediate,8.0,9.0,2.0,1.0,4.0,2.0
Ghana Music Awards (Accra),Ghana,Festivals and cultural events,23.0,Emerging,6.0,9.0,2.0,1.0,3.0,2.0
National Theatre of Ghana (Accra),Ghana,Performing and visual arts,31.0,Intermediate,7.0,9.0,2.0,6.0,4.0,3.0
Nubuke Foundation (Accra/Wa),Ghana,Performing and visual arts,22.0,Emerging,8.0,9.0,1.0,1.0,1.0,2.0
Artists Alliance Gallery (Accra),Ghana,Performing and visual arts,13.0,Emerging,7.0,0.0,2.0,3.0,0.0,1.0
Ghana Dance Ensemble (Legon),Ghana,Performing and visual arts,5.0,Absent/Basic,5.0,0.0,0.0,0.0,0.0,0.0
Ghana Association of Visual Artists,Ghana,Performing and visual arts,5.0,Absent/Basic,5.0,0.0,0.0,0.0,0.0,0.0
"Kuvie (producer, Accra)",Ghana,"Music (artists, production, venues, education)",5.0,Absent/Basic,5.0,0.0,0.0,0.0,0.0,0.0
Kwesi Arthur (artist),Ghana,"Music (artists, production, venues, education)",6.0,Absent/Basic,6.0,0.0,0.0,0.0,0.0,0.0
Sarkodie (artist),Ghana,"Music (artists, production, venues, education)",10.0,Absent/Basic,8.0,0.0,2.0,0.0,0.0,0.0
"School of Performing Arts, Univ. of Ghana (Legon)",Ghana,"Music (artists, production, venues, education)",26.0,Intermediate,7.0,9.0,1.0,5.0,2.0,2.0
Christie Brown (Accra),Ghana,Fashion & Design,32.0,Intermediate,9.0,9.0,3.0,4.0,5.0,2.0
Accra Fashion Week,Ghana,Fashion & Design,25.0,Intermediate,7.0,9.0,3.0,1.0,3.0,2.0
Larry Jay (Accra),Ghana,Fashion & Design,25.0,Intermediate,6.0,9.0,2.0,1.0,6.0,1.0
Pistis (Accra),Ghana,Fashion & Design,26.0,Intermediate,7.0,9.0,3.0,1.0,5.0,1.0
Studio 189 (Accra/NY),Ghana,Fashion & Design,25.0,Intermediate,6.0,9.0,2.0,1.0,6.0,1.0
Accra Indie FilmFest (AiF),Ghana,"Audiovisual (film, photography, TV, videography)",26.0,Intermediate,7.0,9.0,3.0,1.0,4.0,2.0
Citi FM/Citi TV (Accra),Ghana,"Audiovisual (film, photography, TV, videography)",24.0,Intermediate,8.0,9.0,2.0,1.0,3.0,1.0
Ghana Movie Awards,Ghana,"Audiovisual (film, photography, TV, videography)",17.0,Emerging,5.0,7.0,1.0,1.0,2.0,1.0
Joy FM/MultiMedia Group,Ghana,"Audiovisual (film, photography, TV, videography)",21.0,Emerging,5.0,9.0,2.0,1.0,3.0,1.0
Ghana Broadcasting Corporation (GBC),Ghana,"Audiovisual (film, photography, TV, videography)",24.0,Intermediate,7.0,9.0,1.0,1.0,5.0,1.0
Graphic Communications Group Ltd.,Ghana,Marketing/advertising/publishing,19.0,Emerging,4.0,9.0,1.0,1.0,3.0,1.0
Ghana News Agency (GNA),Ghana,Marketing/advertising/publishing,7.0,Absent/Basic,4.0,2.0,0.0,0.0,0.0,1.0
Modern Ghana,Ghana,Marketing/advertising/publishing,25.0,Intermediate,7.0,8.0,1.0,4.0,3.0,2.0
Citi Newsroom,Ghana,Marketing/advertising/publishing,25.0,Intermediate,8.0,9.0,2.0,1.0,3.0,2.0
Pulse Ghana (youth culture media),Ghana,Marketing/advertising/publishing,24.0,Intermediate,9.0,9.0,3.0,1.0,1.0,1.0
